path,kind,loc,last_commit_date,last_commit_subject,classification,confidence,inbound_refs_count,inbound_refs,outbound_refs,breaks_if_deleted,notes
.gitignore,other,,2026-08-03,Count only tracked changes in the submit dirty check,ACTIVE,high,0,REPOSITORY_FILE_CATALOG.md:22(doc); REPOSITORY_FILE_CATALOG.md:622(doc); docs/audits/FULL_PRODUCTION_CHANGE_JUSTIFICATION_AUDIT_20260730.md:117(doc); docs/audits/PRE_IMPLEMENTATION_SOURCE_OF_TRUTH_AUDIT.md:353(doc),,Build objects and data get committed. Silent.,Does NOT cover submit_*_smoke.sub / _retryN.sub (report F2).
AnalysisScripts/Analysis_README.md,markdown,411,2026-07-30,Add docs/DESIGN_AND_RATIONALE.md as the authoritative design record,SUPPORT,high,0,REPOSITORY_FILE_CATALOG.md:23(doc); REPOSITORY_FILE_CATALOG.md:24(doc); REPOSITORY_FILE_CATALOG.md:25(doc); REPOSITORY_FILE_CATALOG.md:26(doc); REPOSITORY_FILE_CATALOG.md:30(doc); REPOSITORY_FILE_CATALOG.md:31(doc); REPOSITORY_FILE_CATALOG.md:32(doc); REPOSITORY_FILE_CATALOG.md:34(doc) (+11 more),,Documentation only. Nothing executes.,Analysis dir docs.
AnalysisScripts/AssociateOriginCategoryContract.h,cpp-header,36,2026-07-30,Analysis: fail-closed raw-input contract and associate-origin categories,ACTIVE,high,7,AnalysisScripts/status_analysis_THnSparse_qq.C:7; PlottingScripts/PairInputSelectionUtils.h:4; PlottingScripts/improvedPlotting_THnSparse.C:38; Validation/ValidateGateDPilotAnalysis.C:2; Validation/ValidatePairBlockClosure.C:2; Validation/ValidatePairDirectory.C:2; tests/test_associate_origin_category.cpp:1; docs/audits/FULL_PRODUCTION_CHANGE_JUSTIFICATION_AUDIT_20260730.md:130(doc),SimulationScripts/HeavyFlavourUtils.h,Analysis + 8 validators + plotting. Immediate compile error.,GeneratedPairRegistry.h is generated by generate_registry_artifacts.py:326.
AnalysisScripts/CountEvents/count_events.sh,shell,34,2026-02-24,Updated strucutre and comments,UNSURE,medium,0,REPOSITORY_FILE_CATALOG.md:24(doc); REPOSITORY_FILE_CATALOG.md:25(doc),AnalysisScripts/CountEvents/count_events_bb_cc.C; setupEnv.sh,Nothing executes. Paper/Tables/generated_heavy_flavor_summary.tex:1 records that the .tex was generated by generated_heavy_flavor_summary.C - deleting it makes a paper table unreproducible.,Blocked on: is the generated_heavy_flavor_summary table going into the paper?
AnalysisScripts/CountEvents/count_events_bb_cc.C,other,110,2026-02-24,Updated strucutre and comments,UNSURE,medium,1,AnalysisScripts/CountEvents/count_events.sh:24; REPOSITORY_FILE_CATALOG.md:25(doc),,Nothing executes. Paper/Tables/generated_heavy_flavor_summary.tex:1 records that the .tex was generated by generated_heavy_flavor_summary.C - deleting it makes a paper table unreproducible.,Blocked on: is the generated_heavy_flavor_summary table going into the paper?
AnalysisScripts/CountEvents/generated_heavy_flavor_summary.C,other,795,2026-07-15,Add paper heavy-flavor summary table,UNSURE,medium,0,Paper/Tables/generated_heavy_flavor_summary.tex:1(doc); REPOSITORY_FILE_CATALOG.md:26(doc); REPOSITORY_FILE_CATALOG.md:335(doc),Paper/Tables/generated_heavy_flavor_summary.tex,Nothing executes. Paper/Tables/generated_heavy_flavor_summary.tex:1 records that the .tex was generated by generated_heavy_flavor_summary.C - deleting it makes a paper table unreproducible.,Blocked on: is the generated_heavy_flavor_summary table going into the paper?
AnalysisScripts/GeneratedPairRegistry.h,cpp-header,329,2026-07-31,Exclude review-blocked species from central results,ACTIVE,high,16,AnalysisScripts/MergeCanonicalAnalysis.C:1; AnalysisScripts/status_analysis_THnSparse_qq.C:4; AnalysisScripts/status_analysis_THnSparse_qq.C:6; PlottingScripts/Validate_THnSparse_Production.C:1; PlottingScripts/improvedPlotting_THnSparse.C:37; Validation/AuditOriginResolution.C:4; Validation/ListUnresolvedOrigins.C:4; Validation/PTHatSensitivity.C:4 (+21 more),tools/generate_registry_artifacts.py,Analysis + 8 validators + plotting. Immediate compile error.,GeneratedPairRegistry.h is generated by generate_registry_artifacts.py:326.
AnalysisScripts/MergeAnalysisObjects.C,other,411,2026-07-30,Analysis: fail-closed raw-input contract and associate-origin categories,ACTIVE-DORMANT,high,1,AnalysisScripts/MergeCanonicalAnalysis.C:2; REPOSITORY_FILE_CATALOG.md:28(doc); docs/audits/FULL_PRODUCTION_CHANGE_JUSTIFICATION_AUDIT_20260730.md:132(doc),,The merge macro. Immediate on first merge.,merge_root_files.sh:155; MergeCanonicalAnalysis.C:2 includes MergeAnalysisObjects.C.
AnalysisScripts/MergeCanonicalAnalysis.C,other,86,2026-07-30,Analysis: fail-closed raw-input contract and associate-origin categories,ACTIVE-DORMANT,high,3,AnalysisScripts/status_analysis_THnSparse_qq.C:126; merge_root_files.sh:155; tools/campaign.py:44; AnalysisScripts/Analysis_README.md:12(doc); REPOSITORY_FILE_CATALOG.md:27(doc); REPOSITORY_FILE_CATALOG.md:28(doc); REPOSITORY_FILE_CATALOG.md:29(doc); docs/audits/FULL_PRODUCTION_CHANGE_JUSTIFICATION_AUDIT_20260730.md:133(doc),AnalysisScripts/GeneratedPairRegistry.h; AnalysisScripts/MergeAnalysisObjects.C,The merge macro. Immediate on first merge.,merge_root_files.sh:155; MergeCanonicalAnalysis.C:2 includes MergeAnalysisObjects.C.
AnalysisScripts/bb_mult_pt_analysis_multi.C,other,885,2026-04-01,Corrected normalization logic,UNSURE,medium,1,AnalysisScripts/run_bb_analysis.sh:81; AnalysisScripts/Analysis_README.md:376(doc); REPOSITORY_FILE_CATALOG.md:30(doc); REPOSITORY_FILE_CATALOG.md:620(doc),SimulationScripts/bbbarcorrelations_status.cpp,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/cc_mult_pt_analysis_multi.C,other,857,2026-04-01,Corrected normalization logic,UNSURE,medium,1,AnalysisScripts/run_cc_analysis.sh:84; AnalysisScripts/Analysis_README.md:377(doc); REPOSITORY_FILE_CATALOG.md:31(doc); REPOSITORY_FILE_CATALOG.md:622(doc),,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/hf_mult_pt_analysis_multi.C,other,1155,2026-05-14,Add Close Packing HF tune pipeline,UNSURE,medium,1,AnalysisScripts/run_hf_analysis.sh:96; AnalysisScripts/Analysis_README.md:14(doc); AnalysisScripts/Analysis_README.md:375(doc); PUBLICATION_READY_CODING_AGENT_INSTRUCTIONS.md:1385(doc); README.txt:5(doc); REPOSITORY_FILE_CATALOG.md:32(doc),,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/qq_draw_2D_correlations.C,other,278,2026-05-13,Add QQ correlation inputs and plots,UNSURE,medium,0,REPOSITORY_FILE_CATALOG.md:33(doc); REPOSITORY_FILE_CATALOG.md:41(doc); REPOSITORY_FILE_CATALOG.md:122(doc); REPOSITORY_FILE_CATALOG.md:123(doc); REPOSITORY_FILE_CATALOG.md:124(doc); REPOSITORY_FILE_CATALOG.md:125(doc); REPOSITORY_FILE_CATALOG.md:126(doc); REPOSITORY_FILE_CATALOG.md:127(doc) (+6 more),AnalysisScripts/status_analysis_qq.C,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/run_bb_analysis.sh,shell,81,2026-04-29,Snapshot local working tree before split HF update,UNSURE,medium,0,REPOSITORY_FILE_CATALOG.md:30(doc); REPOSITORY_FILE_CATALOG.md:34(doc),AnalysisScripts/bb_mult_pt_analysis_multi.C; setupEnv.sh,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/run_cc_analysis.sh,shell,84,2026-04-29,Snapshot local working tree before split HF update,UNSURE,medium,0,REPOSITORY_FILE_CATALOG.md:31(doc); REPOSITORY_FILE_CATALOG.md:35(doc),AnalysisScripts/cc_mult_pt_analysis_multi.C; setupEnv.sh,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/run_hf_analysis.sh,shell,96,2026-05-14,Add Close Packing HF tune pipeline,UNSURE,medium,0,REPOSITORY_FILE_CATALOG.md:32(doc); REPOSITORY_FILE_CATALOG.md:36(doc),AnalysisScripts/hf_mult_pt_analysis_multi.C; setupEnv.sh,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/status_analysis_THnSparse_qq.C,other,1384,2026-07-31,Exclude review-blocked species from central results,ACTIVE,high,9,PlottingScripts/Plot_FlavourClosure.C:19; Validation/TestAnalysisRawInputContract.C:1; Validation/ValidatePairDirectory.C:392; run_status_analysis.sh:21; tests/test_analysis_boundary_binning.py:25; tests/test_analysis_raw_input_contract.py:19; tools/render_analysis_submit.py:176; tools/statistical_robustness.py:2460 (+28 more),AnalysisScripts/AssociateOriginCategoryContract.h; AnalysisScripts/GeneratedPairRegistry.h; AnalysisScripts/MergeCanonicalAnalysis.C; SimulationScripts/GeneratedHeavyFlavourRegistry.h; SimulationScripts/GeneratedTuneSettingRegistry.h; SimulationScripts/HeavyFlavourUtils.h,"run_status_analysis.sh:21,268. Immediate.",Central analysis; handoff key-file table.
AnalysisScripts/status_analysis_bb.C,other,558,2026-02-24,Updated strucutre and comments,UNSURE,medium,0,AnalysisScripts/Analysis_README.md:378(doc); REPOSITORY_FILE_CATALOG.md:39(doc); REPOSITORY_FILE_CATALOG.md:620(doc),SimulationScripts/bbbarcorrelations_status.cpp,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/status_analysis_cc.C,other,648,2026-02-24,Updated strucutre and comments,UNSURE,medium,0,AnalysisScripts/Analysis_README.md:378(doc); REPOSITORY_FILE_CATALOG.md:40(doc); REPOSITORY_FILE_CATALOG.md:132(doc); REPOSITORY_FILE_CATALOG.md:133(doc); REPOSITORY_FILE_CATALOG.md:622(doc); REPOSITORY_FILE_CATALOG.md:623(doc),SimulationScripts/ccbarcorrelations_status.cpp,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalysisScripts/status_analysis_qq.C,other,1140,2026-05-10,Added scripts to submit ROOT jobs on condor,UNSURE,medium,1,AnalysisScripts/qq_draw_2D_correlations.C:4; AnalysisScripts/Analysis_README.md:378(doc); REPOSITORY_FILE_CATALOG.md:41(doc),SimulationScripts/bbbarcorrelations_status.cpp,"Nothing in the campaign pipeline. But the 213 tracked AnalyzedData/*.root files were produced by this chain, and README.txt:5 still calls hf_mult_pt_analysis_multi.C the 'preferred production'.",Closed internal cluster: run_*_analysis.sh -> *_mult_pt_analysis_multi.C; qq_draw_2D_correlations.C:4 -> status_analysis_qq.C. Zero edges into live code. Blocked on: are the tracked AnalyzedData/ ROOT files still needed as reference samples?
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub0.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub1.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub2.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub3.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub4.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub5.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub6.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub7.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub8.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_JUNCTIONS_sub9.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_MONASH_sub0.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_MONASH_sub1.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_MONASH_sub2.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_MONASH_sub3.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_MONASH_sub4.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
AnalyzedData/08-04-2026_100M_Combined/Beauty/hf_MONASH_sub5.root,root-data,,2026-05-01,Update repository documentation and synced analysis outputs,UNSURE,medium,0,,,"Nothing in the campaign pipeline reads AnalyzedData/. But the PtMultiplicity and FinalAnalysis plotting macros take dated tags such as 12-01-2026 / 27-03-2026 (run_paper_plots.sh:155-156), which resolve here.","Tracked ROOT analysis output, ~25 MB, kept by an explicit .gitignore exception (.gitignore:11-13 '!AnalyzedData/**/*.root'). Produced by the UNSURE legacy analysis chain. Blocked on: are these still needed as reference samples, and should they live in git at all?"
